date,pm25,pm10,year,month,day
2023-08-01,102.0,55.0,2023,8,1
2023-08-02,130.0,65.0,2023,8,2
2023-08-03,135.0,68.0,2023,8,3
2023-08-04,136.0,60.0,2023,8,4
2023-08-05,125.0,91.0,2023,8,5
2023-08-06,144.0,81.0,2023,8,6
2023-08-07,159.0,69.0,2023,8,7
2023-08-08,157.0,66.0,2023,8,8
2023-08-09,151.0,67.0,2023,8,9
2023-08-10,156.0,67.0,2023,8,10
2023-08-11,169.0,50.0,2023,8,11
2023-07-01,127.0,50.0,2023,7,1
2023-07-02,115.0,50.0,2023,7,2
2023-07-03,129.0,50.0,2023,7,3
2023-07-04,116.0,50.0,2023,7,4
2023-07-05,143.0,50.0,2023,7,5
2023-07-06,142.0,50.0,2023,7,6
2023-07-07,136.0,50.0,2023,7,7
2023-07-08,106.0,50.0,2023,7,8
2023-07-09,100.0,50.0,2023,7,9
2023-07-10,109.0,50.0,2023,7,10
2023-07-11,107.0,50.0,2023,7,11
2023-07-12,150.0,50.0,2023,7,12
2023-07-13,143.0,50.0,2023,7,13
2023-07-14,130.0,50.0,2023,7,14
2023-07-15,110.0,63.0,2023,7,15
2023-07-16,122.0,50.0,2023,7,16
2023-07-17,117.0,50.0,2023,7,17
2023-07-18,143.0,50.0,2023,7,18
2023-07-19,126.0,50.0,2023,7,19
2023-07-20,105.0,50.0,2023,7,20
2023-07-21,141.0,50.0,2023,7,21
2023-07-22,134.0,50.0,2023,7,22
2023-07-23,126.0,50.0,2023,7,23
2023-07-24,113.0,50.0,2023,7,24
2023-07-25,156.0,50.0,2023,7,25
2023-07-26,126.0,50.0,2023,7,26
2023-07-27,148.0,50.0,2023,7,27
2023-07-28,139.0,50.0,2023,7,28
2023-07-29,145.0,50.0,2023,7,29
2023-07-30,135.0,50.0,2023,7,30
2023-07-31,132.0,102.0,2023,7,31
2023-04-01,29.0,50.0,2023,4,1
2023-04-02,67.0,50.0,2023,4,2
2023-04-03,109.0,50.0,2023,4,3
2023-04-04,78.0,50.0,2023,4,4
2023-04-05,89.0,62.0,2023,4,5
2023-04-06,65.0,36.0,2023,4,6
2023-04-07,91.0,50.0,2023,4,7
2023-04-08,115.0,50.0,2023,4,8
2023-04-09,102.0,50.0,2023,4,9
2023-04-10,36.0,30.0,2023,4,10
2023-04-11,33.0,50.0,2023,4,11
2023-04-12,34.0,50.0,2023,4,12
2023-04-13,42.0,50.0,2023,4,13
2023-04-14,76.0,50.0,2023,4,14
2023-04-15,95.0,50.0,2023,4,15
2023-04-16,66.0,50.0,2023,4,16
2023-04-17,52.0,48.0,2023,4,17
2023-04-18,105.0,50.0,2023,4,18
2023-04-19,101.0,50.0,2023,4,19
2023-04-20,101.0,50.0,2023,4,20
2023-04-21,92.0,50.0,2023,4,21
2023-04-22,96.0,50.0,2023,4,22
2023-04-23,90.0,50.0,2023,4,23
2023-04-24,84.0,50.0,2023,4,24
2023-04-25,56.0,50.0,2023,4,25
2023-04-26,78.0,50.0,2023,4,26
2023-04-27,86.0,50.0,2023,4,27
2023-04-28,58.0,50.0,2023,4,28
2023-04-29,119.0,50.0,2023,4,29
2023-04-30,106.0,50.0,2023,4,30
2023-05-01,97.0,50.0,2023,5,1
2023-05-02,126.0,50.0,2023,5,2
2023-05-03,88.0,50.0,2023,5,3
2023-05-04,64.0,50.0,2023,5,4
2023-05-05,96.0,50.0,2023,5,5
2023-05-06,84.0,50.0,2023,5,6
2023-05-07,115.0,50.0,2023,5,7
2023-05-08,79.0,50.0,2023,5,8
2023-05-09,118.0,50.0,2023,5,9
2023-05-10,132.0,50.0,2023,5,10
2023-05-11,99.0,50.0,2023,5,11
2023-05-12,53.0,50.0,2023,5,12
2023-05-13,90.0,50.0,2023,5,13
2023-05-14,87.0,50.0,2023,5,14
2023-05-15,113.0,50.0,2023,5,15
2023-05-16,103.0,50.0,2023,5,16
2023-05-17,128.0,50.0,2023,5,17
2023-05-18,144.0,50.0,2023,5,18
2023-05-19,139.0,50.0,2023,5,19
2023-05-20,138.0,50.0,2023,5,20
2023-05-21,143.0,50.0,2023,5,21
2023-05-22,148.0,50.0,2023,5,22
2023-05-23,121.0,50.0,2023,5,23
2023-05-24,146.0,50.0,2023,5,24
2023-05-25,142.0,50.0,2023,5,25
2023-05-26,141.0,50.0,2023,5,26
2023-05-27,140.0,50.0,2023,5,27
2023-05-28,126.0,50.0,2023,5,28
2023-05-29,134.0,73.0,2023,5,29
